call_id,timestamp_utc,phase,provider,requested_model,served_model,related_id,attempt,latency_seconds,http_status,input_tokens,output_tokens,total_tokens,retry_reason,success,key_slot
credential_persistence_01_resolved_setup__deepseek-v4-flash:agent:1,2026-09-09T01:48:43.018108+00:00,agent,deepseek,deepseek-v4-flash,deepseek-v4-flash,credential_persistence_01_resolved_setup__deepseek-v4-flash,1,15.067,200,365,1865,2230,,True,primary
credential_persistence_01_resolved_setup__gemini-3.7-flash:agent:1,2026-09-09T01:48:43.032200+00:00,agent,gemini,gemini-3.7-flash,gemini-3.7-flash,credential_persistence_01_resolved_setup__gemini-3.7-flash,1,3.529,200,350,101,574,,True,primary
credential_persistence_01_false_containment_setup__deepseek-v4-flash:agent:1,2026-09-09T01:48:43.037856+00:00,agent,deepseek,deepseek-v4-flash,deepseek-v4-flash,credential_persistence_01_false_containment_setup__deepseek-v4-flash,1,11.901,200,364,1453,1817,,True,primary
credential_persistence_01_false_containment_setup__gemini-3.7-flash:agent:1,2026-09-09T01:48:43.047002+00:00,agent,gemini,gemini-3.7-flash,gemini-3.7-flash,credential_persistence_01_false_containment_setup__gemini-3.7-flash,1,5.033,200,350,131,651,,True,primary
execution_persistence_01_resolved_setup__deepseek-v4-flash:agent:1,2026-09-09T01:48:43.055577+00:00,agent,deepseek,deepseek-v4-flash,deepseek-v4-flash,execution_persistence_01_resolved_setup__deepseek-v4-flash,1,12.845,200,376,1591,1967,,True,primary
execution_persistence_01_resolved_setup__gemini-3.7-flash:agent:1,2026-09-09T01:48:43.065790+00:00,agent,gemini,gemini-3.7-flash,gemini-3.7-flash,execution_persistence_01_resolved_setup__gemini-3.7-flash,1,4.477,200,358,125,613,,True,primary
execution_persistence_01_false_containment_setup__deepseek-v4-flash:agent:1,2026-09-09T01:48:43.075630+00:00,agent,deepseek,deepseek-v4-flash,deepseek-v4-flash,execution_persistence_01_false_containment_setup__deepseek-v4-flash,1,32.736,200,376,4096,4472,JSONDecodeError: Expecting value: line 1 column 1 (char 0),False,primary
execution_persistence_01_false_containment_setup__deepseek-v4-flash:agent:2,2026-09-09T01:48:43.075630+00:00,agent,deepseek,deepseek-v4-flash,deepseek-v4-flash,execution_persistence_01_false_containment_setup__deepseek-v4-flash,2,26.592,200,376,3404,3780,,True,primary
execution_persistence_01_false_containment_setup__gemini-3.7-flash:agent:1,2026-09-09T01:48:43.085677+00:00,agent,gemini,gemini-3.7-flash,gemini-3.7-flash,execution_persistence_01_false_containment_setup__gemini-3.7-flash,1,4.616,200,358,115,661,,True,primary
access_control_persistence_01_resolved_setup__deepseek-v4-flash:agent:1,2026-09-09T01:48:43.094809+00:00,agent,deepseek,deepseek-v4-flash,deepseek-v4-flash,access_control_persistence_01_resolved_setup__deepseek-v4-flash,1,14.612,200,373,1794,2167,,True,primary
access_control_persistence_01_resolved_setup__gemini-3.7-flash:agent:1,2026-09-09T01:48:43.101975+00:00,agent,gemini,gemini-3.7-flash,gemini-3.7-flash,access_control_persistence_01_resolved_setup__gemini-3.7-flash,1,5.204,200,359,147,753,,True,primary
access_control_persistence_01_false_containment_setup__deepseek-v4-flash:agent:1,2026-09-09T01:48:43.110592+00:00,agent,deepseek,deepseek-v4-flash,deepseek-v4-flash,access_control_persistence_01_false_containment_setup__deepseek-v4-flash,1,11.281,200,375,1505,1880,,True,primary
access_control_persistence_01_false_containment_setup__gemini-3.7-flash:agent:1,2026-09-09T01:48:43.118319+00:00,agent,gemini,gemini-3.7-flash,gemini-3.7-flash,access_control_persistence_01_false_containment_setup__gemini-3.7-flash,1,4.725,200,357,132,748,,True,primary
alternate_path_containment_01_resolved_setup__deepseek-v4-flash:agent:1,2026-09-09T01:48:43.126447+00:00,agent,deepseek,deepseek-v4-flash,deepseek-v4-flash,alternate_path_containment_01_resolved_setup__deepseek-v4-flash,1,30.436,200,375,4049,4424,,True,primary
alternate_path_containment_01_resolved_setup__gemini-3.7-flash:agent:1,2026-09-09T01:48:43.134562+00:00,agent,gemini,gemini-3.7-flash,gemini-3.7-flash,alternate_path_containment_01_resolved_setup__gemini-3.7-flash,1,0.52,429,,,,"HTTPError: HTTP Error 429: Too Many Requests; [{
  ""error"": {
    ""code"": 429,
    ""message"": ""You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-3.7-flash\nPlease retry in 10.126747953s."",
    ""status"": ""RESOURCE_EXHAUSTED"",
    ""details"": [
      {
        ""@type"": ""type.googleapis.com/google.rpc.Help"",
        ""links"": [
          {
            ""description"": ""Learn more about Gemini API quotas"",
            ""url"": ""https://ai.google.dev/gemini-api/docs/rate-limits""
          }
        ]
      },
      {
        ""@type"": ""type.googleapis.com/google.rpc.QuotaFailure"",
        ""violations"": [
          {
            ""quotaMetric"": ""generativelanguage.googleapis.com/generate_content_free_tier_requests"",
            ""quotaId"": ""GenerateRequestsPerDayPerProjectPerModel-FreeTier"",
            ""quotaDimensions"": {
              ""location"": ""global"",
              ""model"": ""gemini-3.7-flash""
            },
            ""quotaValue"": ""20""
          }
        ]
      },
      {
        ""@type"": ""type.googleapis.com/google.rpc.RetryInfo"",
        ""retryDelay"": ""10s""
      }
    ]
  }
}
]",False,primary
