timestamp_utc,level,phase,message
2026-09-09T01:48:41.486717+00:00,info,startup,run started
2026-09-09T01:48:43.005408+00:00,info,preflight,deepseek deepseek-v4-flash: 
2026-09-09T01:48:43.005408+00:00,info,preflight,gemini gemini-3.7-flash: 
2026-09-09T01:48:43.005408+00:00,info,preflight,dashscope qwen-max: 
2026-09-09T01:48:43.018108+00:00,success,agent,trajectory completed: credential_persistence_01_resolved_setup__deepseek-v4-flash
2026-09-09T01:48:43.034245+00:00,success,agent,trajectory completed: credential_persistence_01_resolved_setup__gemini-3.7-flash
2026-09-09T01:48:43.037856+00:00,success,agent,trajectory completed: credential_persistence_01_false_containment_setup__deepseek-v4-flash
2026-09-09T01:48:43.047002+00:00,success,agent,trajectory completed: credential_persistence_01_false_containment_setup__gemini-3.7-flash
2026-09-09T01:48:43.055577+00:00,success,agent,trajectory completed: execution_persistence_01_resolved_setup__deepseek-v4-flash
2026-09-09T01:48:43.065790+00:00,success,agent,trajectory completed: execution_persistence_01_resolved_setup__gemini-3.7-flash
2026-09-09T01:48:43.078737+00:00,success,agent,trajectory completed: execution_persistence_01_false_containment_setup__deepseek-v4-flash
2026-09-09T01:48:43.087734+00:00,success,agent,trajectory completed: execution_persistence_01_false_containment_setup__gemini-3.7-flash
2026-09-09T01:48:43.095828+00:00,success,agent,trajectory completed: access_control_persistence_01_resolved_setup__deepseek-v4-flash
2026-09-09T01:48:43.101975+00:00,success,agent,trajectory completed: access_control_persistence_01_resolved_setup__gemini-3.7-flash
2026-09-09T01:48:43.112620+00:00,success,agent,trajectory completed: access_control_persistence_01_false_containment_setup__deepseek-v4-flash
2026-09-09T01:48:43.120340+00:00,success,agent,trajectory completed: access_control_persistence_01_false_containment_setup__gemini-3.7-flash
2026-09-09T01:48:43.126447+00:00,success,agent,trajectory completed: alternate_path_containment_01_resolved_setup__deepseek-v4-flash
2026-09-09T01:48:43.139770+00:00,success,agent,trajectory completed: alternate_path_containment_01_resolved_setup__gemini-3.7-flash
2026-09-09T01:48:43.145697+00:00,success,agent,trajectory completed: alternate_path_containment_01_false_containment_setup__deepseek-v4-flash
2026-09-09T01:48:43.157523+00:00,success,agent,trajectory completed: alternate_path_containment_01_false_containment_setup__gemini-3.7-flash
2026-09-09T01:48:46.711051+00:00,success,verifier,judgment completed: credential_persistence_01_resolved_setup__deepseek-v4-flash__E1_CLAIM__r01
2026-09-09T01:48:50.455523+00:00,success,verifier,judgment completed: credential_persistence_01_resolved_setup__deepseek-v4-flash__E1_CLAIM__r02
2026-09-09T01:48:53.447242+00:00,success,verifier,judgment completed: credential_persistence_01_resolved_setup__deepseek-v4-flash__E1_CLAIM__r03
2026-09-09T01:48:55.826489+00:00,success,verifier,judgment completed: credential_persistence_01_resolved_setup__deepseek-v4-flash__E2_ACTION__r01
2026-09-09T01:48:59.996754+00:00,success,verifier,judgment completed: credential_persistence_01_resolved_setup__deepseek-v4-flash__E2_ACTION__r02
2026-09-09T01:49:05.162634+00:00,success,verifier,judgment completed: credential_persistence_01_resolved_setup__deepseek-v4-flash__E2_ACTION__r03
2026-09-09T01:49:10.436048+00:00,success,verifier,judgment completed: credential_persistence_01_resolved_setup__deepseek-v4-flash__E3_STATE__r01
2026-09-09T01:49:13.001629+00:00,success,verifier,judgment completed: credential_persistence_01_resolved_setup__deepseek-v4-flash__E3_STATE__r02
2026-09-09T01:49:16.441481+00:00,success,verifier,judgment completed: credential_persistence_01_resolved_setup__deepseek-v4-flash__E3_STATE__r03
2026-09-09T01:49:19.984721+00:00,success,verifier,judgment completed: credential_persistence_01_resolved_setup__deepseek-v4-flash__E4_VERIFICATION__r01
2026-09-09T01:49:22.428532+00:00,success,verifier,judgment completed: credential_persistence_01_resolved_setup__deepseek-v4-flash__E4_VERIFICATION__r02
2026-09-09T01:49:24.988297+00:00,success,verifier,judgment completed: credential_persistence_01_resolved_setup__deepseek-v4-flash__E4_VERIFICATION__r03
2026-09-09T01:49:26.998825+00:00,success,verifier,judgment completed: credential_persistence_01_resolved_setup__gemini-3.7-flash__E1_CLAIM__r01
2026-09-09T01:49:29.271181+00:00,success,verifier,judgment completed: credential_persistence_01_resolved_setup__gemini-3.7-flash__E1_CLAIM__r02
2026-09-09T01:49:32.984371+00:00,success,verifier,judgment completed: credential_persistence_01_resolved_setup__gemini-3.7-flash__E1_CLAIM__r03
2026-09-09T01:49:37.250469+00:00,success,verifier,judgment completed: credential_persistence_01_resolved_setup__gemini-3.7-flash__E2_ACTION__r01
2026-09-09T01:49:40.033189+00:00,success,verifier,judgment completed: credential_persistence_01_resolved_setup__gemini-3.7-flash__E2_ACTION__r02
2026-09-09T01:49:42.563295+00:00,success,verifier,judgment completed: credential_persistence_01_resolved_setup__gemini-3.7-flash__E2_ACTION__r03
2026-09-09T01:49:46.189914+00:00,success,verifier,judgment completed: credential_persistence_01_resolved_setup__gemini-3.7-flash__E3_STATE__r01
2026-09-09T01:49:48.631254+00:00,success,verifier,judgment completed: credential_persistence_01_resolved_setup__gemini-3.7-flash__E3_STATE__r02
2026-09-09T01:49:51.455854+00:00,success,verifier,judgment completed: credential_persistence_01_resolved_setup__gemini-3.7-flash__E3_STATE__r03
2026-09-09T01:49:54.637612+00:00,success,verifier,judgment completed: credential_persistence_01_resolved_setup__gemini-3.7-flash__E4_VERIFICATION__r01
2026-09-09T01:49:57.356071+00:00,success,verifier,judgment completed: credential_persistence_01_resolved_setup__gemini-3.7-flash__E4_VERIFICATION__r02
2026-09-09T01:49:59.695123+00:00,success,verifier,judgment completed: credential_persistence_01_resolved_setup__gemini-3.7-flash__E4_VERIFICATION__r03
2026-09-09T01:50:03.780043+00:00,success,verifier,judgment completed: credential_persistence_01_false_containment_setup__deepseek-v4-flash__E1_CLAIM__r01
2026-09-09T01:50:06.697456+00:00,success,verifier,judgment completed: credential_persistence_01_false_containment_setup__deepseek-v4-flash__E1_CLAIM__r02
2026-09-09T01:50:09.336107+00:00,success,verifier,judgment completed: credential_persistence_01_false_containment_setup__deepseek-v4-flash__E1_CLAIM__r03
2026-09-09T01:50:11.570177+00:00,success,verifier,judgment completed: credential_persistence_01_false_containment_setup__deepseek-v4-flash__E2_ACTION__r01
2026-09-09T01:50:13.959627+00:00,success,verifier,judgment completed: credential_persistence_01_false_containment_setup__deepseek-v4-flash__E2_ACTION__r02
2026-09-09T01:50:16.205991+00:00,success,verifier,judgment completed: credential_persistence_01_false_containment_setup__deepseek-v4-flash__E2_ACTION__r03
2026-09-09T01:50:18.766401+00:00,success,verifier,judgment completed: credential_persistence_01_false_containment_setup__deepseek-v4-flash__E3_STATE__r01
2026-09-09T01:50:21.812206+00:00,success,verifier,judgment completed: credential_persistence_01_false_containment_setup__deepseek-v4-flash__E3_STATE__r02
2026-09-09T01:50:24.835474+00:00,success,verifier,judgment completed: credential_persistence_01_false_containment_setup__deepseek-v4-flash__E3_STATE__r03
2026-09-09T01:50:26.900807+00:00,success,verifier,judgment completed: credential_persistence_01_false_containment_setup__deepseek-v4-flash__E4_VERIFICATION__r01
2026-09-09T01:50:29.077770+00:00,success,verifier,judgment completed: credential_persistence_01_false_containment_setup__deepseek-v4-flash__E4_VERIFICATION__r02
2026-09-09T01:50:31.191467+00:00,success,verifier,judgment completed: credential_persistence_01_false_containment_setup__deepseek-v4-flash__E4_VERIFICATION__r03
2026-09-09T01:50:33.787171+00:00,success,verifier,judgment completed: credential_persistence_01_false_containment_setup__gemini-3.7-flash__E1_CLAIM__r01
2026-09-09T01:50:36.033359+00:00,success,verifier,judgment completed: credential_persistence_01_false_containment_setup__gemini-3.7-flash__E1_CLAIM__r02
