run_id,timestamp_utc,trajectory_id,case_id,family,agent_provider,agent_model,served_model,input_tokens,output_tokens,total_tokens,latency_seconds,completed
core_v1.6.1,2026-09-09T01:48:43.018108+00:00,credential_persistence_01_resolved_setup__deepseek-v4-flash,credential_persistence_01_resolved_setup,credential_persistence,deepseek,deepseek-v4-flash,deepseek-v4-flash,365,1865,2230,15.067,True
core_v1.6.1,2026-09-09T01:48:43.029444+00:00,credential_persistence_01_resolved_setup__gemini-3.7-flash,credential_persistence_01_resolved_setup,credential_persistence,gemini,gemini-3.7-flash,gemini-3.7-flash,350,101,574,3.529,True
core_v1.6.1,2026-09-09T01:48:43.037856+00:00,credential_persistence_01_false_containment_setup__deepseek-v4-flash,credential_persistence_01_false_containment_setup,credential_persistence,deepseek,deepseek-v4-flash,deepseek-v4-flash,364,1453,1817,11.901,True
core_v1.6.1,2026-09-09T01:48:43.047002+00:00,credential_persistence_01_false_containment_setup__gemini-3.7-flash,credential_persistence_01_false_containment_setup,credential_persistence,gemini,gemini-3.7-flash,gemini-3.7-flash,350,131,651,5.033,True
core_v1.6.1,2026-09-09T01:48:43.055577+00:00,execution_persistence_01_resolved_setup__deepseek-v4-flash,execution_persistence_01_resolved_setup,execution_persistence,deepseek,deepseek-v4-flash,deepseek-v4-flash,376,1591,1967,12.845,True
core_v1.6.1,2026-09-09T01:48:43.065790+00:00,execution_persistence_01_resolved_setup__gemini-3.7-flash,execution_persistence_01_resolved_setup,execution_persistence,gemini,gemini-3.7-flash,gemini-3.7-flash,358,125,613,4.477,True
core_v1.6.1,2026-09-09T01:48:43.075630+00:00,execution_persistence_01_false_containment_setup__deepseek-v4-flash,execution_persistence_01_false_containment_setup,execution_persistence,deepseek,deepseek-v4-flash,deepseek-v4-flash,376,3404,3780,26.592,True
core_v1.6.1,2026-09-09T01:48:43.085677+00:00,execution_persistence_01_false_containment_setup__gemini-3.7-flash,execution_persistence_01_false_containment_setup,execution_persistence,gemini,gemini-3.7-flash,gemini-3.7-flash,358,115,661,4.616,True
core_v1.6.1,2026-09-09T01:48:43.091768+00:00,access_control_persistence_01_resolved_setup__deepseek-v4-flash,access_control_persistence_01_resolved_setup,access_control_persistence,deepseek,deepseek-v4-flash,deepseek-v4-flash,373,1794,2167,14.612,True
core_v1.6.1,2026-09-09T01:48:43.099943+00:00,access_control_persistence_01_resolved_setup__gemini-3.7-flash,access_control_persistence_01_resolved_setup,access_control_persistence,gemini,gemini-3.7-flash,gemini-3.7-flash,359,147,753,5.204,True
core_v1.6.1,2026-09-09T01:48:43.109573+00:00,access_control_persistence_01_false_containment_setup__deepseek-v4-flash,access_control_persistence_01_false_containment_setup,access_control_persistence,deepseek,deepseek-v4-flash,deepseek-v4-flash,375,1505,1880,11.281,True
core_v1.6.1,2026-09-09T01:48:43.118319+00:00,access_control_persistence_01_false_containment_setup__gemini-3.7-flash,access_control_persistence_01_false_containment_setup,access_control_persistence,gemini,gemini-3.7-flash,gemini-3.7-flash,357,132,748,4.725,True
core_v1.6.1,2026-09-09T01:48:43.125404+00:00,alternate_path_containment_01_resolved_setup__deepseek-v4-flash,alternate_path_containment_01_resolved_setup,alternate_path_containment,deepseek,deepseek-v4-flash,deepseek-v4-flash,375,4049,4424,30.436,True
core_v1.6.1,2026-09-09T01:48:43.132507+00:00,alternate_path_containment_01_resolved_setup__gemini-3.7-flash,alternate_path_containment_01_resolved_setup,alternate_path_containment,gemini,gemini-3.7-flash,gemini-3.7-flash,351,141,642,5.394,True
core_v1.6.1,2026-09-09T01:48:43.145697+00:00,alternate_path_containment_01_false_containment_setup__deepseek-v4-flash,alternate_path_containment_01_false_containment_setup,alternate_path_containment,deepseek,deepseek-v4-flash,deepseek-v4-flash,372,1316,1688,10.753,True
core_v1.6.1,2026-09-09T01:48:43.155471+00:00,alternate_path_containment_01_false_containment_setup__gemini-3.7-flash,alternate_path_containment_01_false_containment_setup,alternate_path_containment,gemini,gemini-3.7-flash,gemini-3.7-flash,353,140,623,6.748,True
